url,was_in_live_sitemap,which_live_sitemap
"https://www.liquorlicenseagents.com/cities/encinitas-type-61-license/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/escondido-liquor-licenses-for-restaurants-bars-and-retailers/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/escondido-type-20-license/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/escondido-type-21-license/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/escondido-type-41-license/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/escondido-type-47-license/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/escondido-type-48-license/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/escondido-type-57-licens/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/escondido-type-61-license/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/fontana","yes","/sitemaps/sitemap-cities-categories.xml"
"https://www.liquorlicenseagents.com/cities/fontana-liquor-licenses-for-restaurants-bars-and-retailers/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/fort-lauderdale","yes","/sitemaps/sitemap-cities-categories.xml"
"https://www.liquorlicenseagents.com/cities/fort-lauderdale-13ct-license/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/fort-lauderdale-2aps-license/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/fort-lauderdale-2cop-license/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/fort-lauderdale-3ps-quota-license/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/fort-lauderdale-4cop-quota-license/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/fort-lauderdale-4cop-sfs-license/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/fort-lauderdale-cmb-license/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/fort-lauderdale-liquor-licenses-for-restaurants-bars-and-retailers/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/fountain-valley/fountain-valley-liquor-licenses-for-restaurants-bars-and-retailers/","yes","/sitemaps/sitemap-cities.xml"
"https://www.liquorlicenseagents.com/cities/fremont-liquor-licenses-for-restaurants-bars-and-retailers/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/fresno-county-type-02-winery-or-winegrower-license/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/fresno-county-type-20-liquor-license-for-beer-and-wine-off-sale-1/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/fresno-county-type-20-liquor-license-for-beer-and-wine-off-sale/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/fresno-county-type-23-small-beer-manufacturer-license/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/fresno-county-type-40-on-sale-beer-license/","yes","/sitemaps/sitemap-cities.xml"
"https://www.liquorlicenseagents.com/cities/fresno-county-type-75-brewpub-license-for-restaurants-and-breweries/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/fresno-county-type-75-on-sale-general-brewpub-license/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/fresno-county-type-85-limited-off-sale-wine-license/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/fresno/fresno-county-type-48-full-liquor-license-for-bars-and-nightclubs/","yes","/sitemaps/sitemap-cities.xml"
"https://www.liquorlicenseagents.com/cities/fullerton-liquor-licenses-for-restaurants-bars-and-retailers/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/garden-grove-liquor-licenses-for-restaurants-bars-and-retailers/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/gardena-liquor-licenses-for-restaurants-bars-and-retailers/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/gilbert","yes","/sitemaps/sitemap-cities-categories.xml"
"https://www.liquorlicenseagents.com/cities/gilbert-liquor-licenses-for-restaurants-bars-and-retailers/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/gilbert-series-1-license/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/gilbert-series-10-license/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/gilbert-series-11-license/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/gilbert-series-12-license/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/gilbert-series-6-license/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/gilbert-series-7-license/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/gilbert-series-9-license/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/glendale-liquor-licenses-for-restaurants-bars-and-retailers/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/glendale-series-1-license/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/glendale-series-10-license/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/glendale-series-11-license/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/glendale-series-12-license/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/glendale-series-6-license/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/glendale-series-7-license/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/glendale-series-9-license/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/glendale-type-20-license/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/glendale-type-21-license/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/glendale-type-41-license/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/glendale-type-47-license/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/glendale-type-48-license/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/glendale-type-57-license/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/glendale-type-61-license/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/glendora-liquor-licenses-for-restaurants-bars-and-retailers/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/goleta-liquor-licenses-for-restaurants-bars-and-retailers/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/guadalupe-liquor-licenses-for-restaurants-bars-and-retailers/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/hawaiian-gardens-liquor-licenses-for-restaurants-bars-and-retailers/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/hawthorne-liquor-licenses-for-restaurants-bars-and-retailers/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/hayward-liquor-licenses-for-restaurants-bars-and-retailers/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/hermosa-beach-liquor-licenses-for-restaurants-bars-and-retailers/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/hialeah","yes","/sitemaps/sitemap-cities-categories.xml"
"https://www.liquorlicenseagents.com/cities/hialeah-13ct-license/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/hialeah-2aps-license/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/hialeah-2cop-license/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/hialeah-3ps-quota-license/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/hialeah-4cop-quota-license/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/hialeah-4cop-sfs-license/","NO (orphan, newly added)",""
"https://www.liquorlicenseagents.com/cities/hialeah-cmb-license/","NO (orphan, newly added)",""
